bowler,matches_played,balls,fours,sixes,dot_balls,extra_runs,wickets
P Kumar,119,2637,338.0,104.0,1075.0,236.0,102.0
Z Khan,99,2276,312.0,64.0,873.0,169.0,119.0
AA Noffke,1,25,2.0,2.0,6.0,6.0,1.0
JH Kallis,89,1799,236.0,58.0,601.0,126.0,74.0
SB Joshi,4,55,6.0,5.0,18.0,0.0,1.0
CL White,6,46,5.0,6.0,8.0,5.0,1.0
AB Dinda,75,1589,232.0,58.0,627.0,116.0,82.0
I Sharma,101,2247,340.0,83.0,907.0,210.0,84.0
AB Agarkar,42,820,113.0,41.0,254.0,62.0,33.0
SC Ganguly,20,280,25.0,14.0,75.0,11.0,12.0
LR Shukla,27,326,39.0,16.0,109.0,29.0,17.0
B Lee,38,916,123.0,25.0,374.0,84.0,30.0
S Sreesanth,44,947,130.0,39.0,399.0,109.0,43.0
JR Hopes,20,369,44.0,28.0,105.0,23.0,14.0
IK Pathan,101,2113,293.0,82.0,835.0,142.0,99.0
K Goel,6,67,9.0,2.0,19.0,2.0,0.0
PP Chawla,180,3680,361.0,201.0,1260.0,143.0,188.0
WA Mota,7,75,4.0,5.0,24.0,4.0,4.0
JDP Oram,14,244,34.0,14.0,79.0,20.0,13.0
MS Gony,44,925,135.0,53.0,348.0,67.0,39.0
M Muralitharan,66,1581,105.0,67.0,600.0,123.0,67.0
P Amarnath,6,132,29.0,7.0,29.0,5.0,7.0
Joginder Sharma,15,272,38.0,17.0,71.0,19.0,13.0
GD McGrath,14,329,41.0,10.0,153.0,14.0,14.0
B Geeves,2,49,17.0,1.0,15.0,1.0,2.0
MF Maharoof,20,441,46.0,16.0,165.0,38.0,33.0
R Bhatia,91,1661,120.0,68.0,436.0,73.0,82.0
DL Vettori,34,785,67.0,24.0,270.0,23.0,34.0
MM Patel,63,1382,188.0,53.0,590.0,63.0,82.0
SR Watson,105,2137,293.0,74.0,803.0,171.0,107.0
SK Trivedi,75,1557,154.0,51.0,492.0,104.0,73.0
SK Warne,54,1223,91.0,56.0,426.0,57.0,60.0
YK Pathan,82,1184,99.0,57.0,393.0,71.0,46.0
D Salunkhe,5,51,6.0,3.0,13.0,10.0,1.0
R Vinay Kumar,104,2186,296.0,100.0,763.0,116.0,127.0
B Akhil,13,193,18.0,9.0,60.0,11.0,7.0
A Nehra,88,1974,279.0,76.0,798.0,115.0,121.0
SM Pollock,13,280,30.0,9.0,130.0,10.0,13.0
DS Kulkarni,92,1876,272.0,81.0,742.0,149.0,91.0
ST Jayasuriya,21,301,22.0,16.0,83.0,21.0,16.0
Harbhajan Singh,160,3496,296.0,145.0,1263.0,173.0,161.0
AM Nayar,19,239,22.0,13.0,69.0,12.0,9.0
M Kartik,55,1182,97.0,41.0,382.0,77.0,39.0
Mohammad Hafeez,4,63,5.0,2.0,22.0,10.0,2.0
DJ Hussey,26,323,30.0,25.0,86.0,18.0,10.0
WPUJC Vaas,13,288,40.0,13.0,128.0,19.0,22.0
RP Singh,82,1874,254.0,70.0,744.0,181.0,100.0
SB Styris,11,222,19.0,14.0,83.0,8.0,9.0
SB Bangar,9,153,24.0,7.0,55.0,9.0,6.0
A Symonds,30,540,44.0,33.0,190.0,38.0,23.0
PP Ojha,90,1945,146.0,97.0,667.0,138.0,99.0
Pankaj Singh,17,311,52.0,17.0,111.0,19.0,11.0
Mohammad Asif,8,199,37.0,8.0,64.0,18.0,9.0
VY Mahesh,17,359,47.0,20.0,120.0,33.0,22.0
Shahid Afridi,10,185,19.0,7.0,57.0,17.0,9.0
DJ Bravo,158,3296,349.0,155.0,998.0,258.0,207.0
VS Yeligati,2,32,7.0,2.0,6.0,8.0,0.0
MA Khote,2,30,4.0,2.0,5.0,1.0,2.0
D Kalyankrishna,3,50,8.0,4.0,10.0,3.0,2.0
VRV Singh,18,371,58.0,16.0,114.0,18.0,16.0
Sohail Tanvir,11,265,27.0,7.0,121.0,29.0,24.0
A Kumble,42,983,72.0,35.0,374.0,62.0,49.0
DNT Zoysa,3,69,12.0,3.0,24.0,4.0,2.0
SD Chitnis,2,38,4.0,3.0,9.0,8.0,2.0
Yuvraj Singh,73,882,59.0,41.0,258.0,27.0,39.0
Shoaib Malik,5,58,7.0,3.0,15.0,10.0,2.0
DW Steyn,95,2282,284.0,55.0,1019.0,177.0,105.0
JA Morkel,87,1807,264.0,56.0,646.0,153.0,96.0
CRD Fernando,10,249,30.0,9.0,99.0,27.0,19.0
V Kohli,26,264,25.0,11.0,52.0,17.0,5.0
V Sehwag,15,138,19.0,16.0,44.0,3.0,6.0
Gagandeep Singh,4,84,14.0,6.0,25.0,1.0,3.0
Y Venugopal Rao,20,222,30.0,13.0,59.0,9.0,7.0
Umar Gul,6,153,17.0,5.0,51.0,32.0,14.0
PJ Sangwan,42,905,127.0,43.0,319.0,85.0,44.0
M Ntini,9,213,29.0,8.0,99.0,19.0,8.0
DP Vijaykumar,9,159,23.0,5.0,63.0,13.0,4.0
DB Ravi Teja,2,18,1.0,2.0,4.0,0.0,1.0
LPC Silva,1,6,0.0,3.0,0.0,0.0,0.0
DJ Thornely,4,44,5.0,0.0,19.0,2.0,3.0
RR Raje,10,144,23.0,4.0,39.0,14.0,7.0
SK Raina,69,930,71.0,44.0,280.0,43.0,30.0
S Vidyut,1,13,1.0,2.0,5.0,1.0,1.0
L Balaji,73,1574,188.0,69.0,537.0,131.0,85.0
CK Kapugedera,3,17,5.0,3.0,0.0,0.0,0.0
DR Smith,46,557,75.0,33.0,168.0,38.0,27.0
AD Mascarenhas,13,310,34.0,8.0,124.0,12.0,19.0
A Mishra,161,3432,238.0,182.0,1180.0,128.0,182.0
Shoaib Akhtar,3,46,6.0,2.0,23.0,4.0,5.0
Iqbal Abdulla,48,943,88.0,37.0,331.0,42.0,45.0
RR Powar,26,443,41.0,18.0,166.0,37.0,15.0
PM Sarvesh Kumar,2,31,7.0,0.0,11.0,1.0,1.0
Abdur Razzak,1,14,3.0,1.0,5.0,6.0,0.0
RA Jadeja,197,3610,268.0,193.0,1143.0,135.0,161.0
TM Dilshan,25,275,27.0,15.0,79.0,7.0,5.0
RG Sharma,32,349,29.0,14.0,88.0,24.0,16.0
A Nel,1,18,3.0,2.0,7.0,0.0,1.0
BAW Mendis,10,248,17.0,12.0,76.0,11.0,9.0
T Thushara,6,144,15.0,4.0,57.0,12.0,10.0
A Flintoff,3,66,7.0,7.0,20.0,1.0,2.0
SL Malinga,122,2974,314.0,86.0,1144.0,292.0,188.0
Kamran Khan,9,177,25.0,10.0,63.0,20.0,14.0
T Henderson,2,36,5.0,0.0,14.0,1.0,1.0
JD Ryder,16,241,21.0,13.0,79.0,17.0,11.0
DP Nannes,29,689,89.0,15.0,285.0,81.0,38.0
AM Salvi,7,156,18.0,7.0,57.0,15.0,7.0
YA Abdulla,11,222,32.0,13.0,88.0,17.0,15.0
VS Malik,13,212,30.0,6.0,84.0,14.0,6.0
FH Edwards,6,150,20.0,2.0,70.0,16.0,6.0
Harmeet Singh,28,574,69.0,22.0,201.0,49.0,31.0
CH Gayle,38,584,49.0,27.0,180.0,75.0,19.0
MC Henriques,60,979,123.0,38.0,306.0,46.0,46.0
KP Pietersen,13,180,10.0,9.0,54.0,13.0,9.0
LRPL Taylor,2,13,0.0,2.0,0.0,1.0,0.0
RS Bopara,14,213,25.0,10.0,61.0,25.0,13.0
MK Tiwary,6,45,2.0,7.0,9.0,5.0,1.0
Anureet Singh,22,430,65.0,22.0,139.0,35.0,21.0
RR Bose,1,12,5.0,0.0,5.0,0.0,0.0
KP Appanna,13,222,20.0,11.0,68.0,13.0,11.0
Shoaib Ahmed,7,103,14.0,7.0,33.0,3.0,5.0
BJ Hodge,20,238,17.0,14.0,75.0,16.0,18.0
SR Tendulkar,4,37,6.0,1.0,4.0,2.0,0.0
RE van der Merwe,21,455,25.0,17.0,148.0,29.0,25.0
JP Duminy,49,701,53.0,33.0,234.0,45.0,23.0
S Tyagi,14,220,34.0,12.0,93.0,20.0,6.0
GR Napier,1,24,2.0,1.0,8.0,1.0,1.0
SM Harwood,3,67,6.0,2.0,33.0,13.0,3.0
AS Raut,5,30,4.0,1.0,6.0,1.0,0.0
SB Jakati,57,1101,97.0,60.0,337.0,52.0,50.0
D du Preez,2,43,6.0,1.0,18.0,1.0,4.0
RJ Harris,37,865,119.0,27.0,364.0,87.0,47.0
TL Suman,11,152,8.0,10.0,43.0,3.0,7.0
A Singh,23,486,67.0,17.0,189.0,36.0,31.0
M Morkel,70,1699,230.0,61.0,708.0,131.0,88.0
LA Carseldine,1,7,1.0,0.0,4.0,1.0,1.0
A Mithun,16,312,42.0,21.0,90.0,29.0,8.0
C Nanda,3,50,1.0,2.0,13.0,3.0,2.0
SS Sarkar,2,25,4.0,0.0,4.0,0.0,1.0
AD Mathews,44,807,98.0,29.0,224.0,41.0,28.0
AM Rahane,1,6,0.0,0.0,2.0,0.0,1.0
J Botha,34,709,60.0,24.0,254.0,37.0,27.0
Mashrafe Mortaza,1,28,4.0,4.0,6.0,5.0,1.0
AB McDonald,10,188,20.0,11.0,50.0,4.0,14.0
Y Nagar,8,72,11.0,6.0,16.0,8.0,4.0
CK Langeveldt,7,165,17.0,8.0,69.0,21.0,13.0
R Ashwin,194,4333,292.0,184.0,1465.0,227.0,189.0
RA Shaikh,1,6,2.0,0.0,1.0,0.0,0.0
Jaskaran Singh,7,111,23.0,4.0,39.0,12.0,6.0
SW Tait,21,534,71.0,12.0,200.0,111.0,26.0
A Uniyal,2,38,6.0,3.0,8.0,3.0,3.0
AA Jhunjhunwala,10,88,10.0,5.0,27.0,4.0,1.0
R McLaren,18,372,69.0,11.0,116.0,38.0,14.0
AG Murtaza,12,269,22.0,14.0,101.0,18.0,12.0
R Sathish,14,144,18.0,10.0,30.0,6.0,6.0
RS Gavaskar,1,6,1.0,0.0,2.0,0.0,0.0
JM Kemp,5,47,6.0,1.0,15.0,7.0,3.0
S Ladda,9,141,12.0,17.0,48.0,4.0,5.0
Bipul Sharma,28,436,28.0,31.0,131.0,24.0,22.0
SE Bond,8,191,27.0,3.0,75.0,7.0,9.0
KA Pollard,107,1586,169.0,78.0,405.0,123.0,81.0
S Narwal,6,113,17.0,13.0,37.0,8.0,6.0
UT Yadav,140,3061,446.0,142.0,1131.0,253.0,154.0
SJ Srivastava,14,306,50.0,13.0,103.0,35.0,15.0
AC Voges,7,56,8.0,2.0,15.0,2.0,1.0
R Sharma,44,935,70.0,45.0,334.0,21.0,42.0
J Theron,10,235,28.0,9.0,68.0,23.0,13.0
NLTC Perera,36,715,113.0,28.0,227.0,33.0,37.0
KAJ Roach,2,52,10.0,3.0,20.0,4.0,0.0
PD Collingwood,6,90,4.0,3.0,24.0,1.0,5.0
C Ganapathy,1,6,1.0,1.0,1.0,0.0,0.0
MB Parmar,1,19,6.0,0.0,4.0,1.0,0.0
SB Wagh,8,108,21.0,2.0,45.0,16.0,5.0
DE Bollinger,27,600,73.0,19.0,254.0,53.0,43.0
JD Unadkat,93,1994,241.0,130.0,642.0,85.0,100.0
AP Dole,3,73,11.0,4.0,20.0,9.0,5.0
AN Ahmed,17,362,43.0,20.0,120.0,48.0,15.0
FY Fazal,2,12,1.0,1.0,1.0,0.0,1.0
MR Marsh,31,539,62.0,23.0,172.0,35.0,36.0
L Ablish,3,45,11.0,1.0,10.0,4.0,5.0
S Sriram,2,18,4.0,4.0,2.0,0.0,0.0
AJ Finch,5,44,4.0,4.0,13.0,1.0,1.0
STR Binny,63,611,76.0,14.0,199.0,22.0,28.0
ND Doshi,4,57,5.0,6.0,24.0,1.0,2.0
TG Southee,54,1262,175.0,62.0,447.0,92.0,57.0
S Randiv,8,180,20.0,5.0,60.0,6.0,8.0
AL Menaria,12,113,15.0,4.0,40.0,4.0,3.0
DT Christian,49,922,103.0,39.0,296.0,66.0,40.0
AUK Pathan,3,41,5.0,2.0,9.0,6.0,0.0
RV Gomez,9,97,10.0,7.0,37.0,2.0,6.0
JEC Franklin,15,155,21.0,6.0,39.0,9.0,9.0
AC Thomas,15,327,41.0,11.0,126.0,22.0,16.0
WD Parnell,33,758,102.0,24.0,296.0,87.0,40.0
M Manhas,3,42,2.0,1.0,15.0,0.0,0.0
NJ Rimmington,1,18,3.0,0.0,9.0,1.0,0.0
RN ten Doeschate,10,83,4.0,3.0,22.0,6.0,3.0
S Nadeem,70,1444,114.0,73.0,453.0,47.0,54.0
BA Bhatt,15,303,35.0,13.0,93.0,19.0,13.0
JJ van der Wath,3,76,17.0,6.0,29.0,9.0,3.0
S Aravind,38,788,105.0,38.0,290.0,50.0,48.0
R Ninan,2,36,3.0,5.0,8.0,0.0,3.0
Shakib Al Hasan,70,1515,120.0,78.0,504.0,62.0,71.0
PC Valthaty,10,153,15.0,7.0,44.0,8.0,7.0
S Dhawan,6,49,7.0,3.0,17.0,7.0,4.0
J Syed Mohammad,11,196,18.0,12.0,47.0,7.0,10.0
VR Aaron,50,1065,159.0,52.0,387.0,126.0,46.0
NL McCullum,2,30,1.0,2.0,10.0,1.0,0.0
JE Taylor,5,122,10.0,9.0,48.0,15.0,6.0
KMDN Kulasekara,5,107,16.0,0.0,45.0,7.0,6.0
P Parameswaran,8,159,23.0,10.0,64.0,7.0,9.0
I Malhotra,1,6,2.0,2.0,0.0,0.0,0.0
B Chipli,1,6,1.0,2.0,1.0,0.0,0.0
B Kumar,160,3703,450.0,123.0,1506.0,270.0,184.0
AA Kazi,1,13,1.0,1.0,2.0,1.0,1.0
Anand Rajan,8,162,17.0,8.0,57.0,18.0,10.0
P Prasanth,1,6,0.0,3.0,3.0,0.0,0.0
Y Gnaneswara Rao,1,6,1.0,0.0,3.0,0.0,0.0
AA Chavan,13,255,28.0,16.0,100.0,21.0,8.0
S Rana,3,16,2.0,0.0,5.0,0.0,0.0
JP Faulkner,60,1287,160.0,67.0,399.0,105.0,76.0
SS Mundhe,1,7,1.0,0.0,4.0,1.0,1.0
RW Price,1,18,2.0,2.0,1.0,0.0,0.0
GJ Maxwell,73,867,64.0,67.0,267.0,30.0,34.0
M de Lange,5,116,21.0,4.0,39.0,14.0,6.0
MN Samuels,11,219,23.0,12.0,79.0,7.0,10.0
KK Cooper,25,600,59.0,23.0,184.0,64.0,36.0
DAJ Bracewell,1,25,2.0,2.0,10.0,1.0,3.0
HV Patel,89,1967,225.0,108.0,630.0,177.0,121.0
Ankit Sharma,21,375,28.0,18.0,137.0,17.0,12.0
DJ Harris,2,18,2.0,1.0,4.0,0.0,0.0
TP Sudhindra,3,74,9.0,9.0,18.0,5.0,1.0
F du Plessis,1,6,0.0,2.0,0.0,0.0,0.0
SP Narine,161,3812,289.0,149.0,1447.0,167.0,182.0
GB Hogg,21,466,40.0,21.0,159.0,33.0,25.0
RR Bhatkal,1,12,2.0,3.0,0.0,0.0,0.0
P Awana,33,774,107.0,35.0,293.0,46.0,43.0
V Pratap Singh,9,211,31.0,10.0,71.0,11.0,12.0
CJ McKay,2,42,8.0,1.0,14.0,0.0,1.0
AD Russell,98,1583,233.0,97.0,524.0,109.0,106.0
A Ashish Reddy,20,270,26.0,20.0,79.0,14.0,19.0
Azhar Mahmood,23,552,73.0,18.0,199.0,26.0,31.0
A Chandila,12,234,17.0,10.0,103.0,3.0,11.0
P Negi,42,733,57.0,47.0,237.0,32.0,38.0
LJ Wright,6,75,5.0,9.0,14.0,5.0,2.0
RJ Peterson,4,48,5.0,5.0,21.0,0.0,3.0
R Shukla,7,130,21.0,9.0,38.0,19.0,7.0
MJ Clarke,5,66,4.0,2.0,22.0,5.0,3.0
BW Hilfenhaus,17,390,48.0,21.0,173.0,36.0,23.0
SPD Smith,1,2,1.0,0.0,0.0,0.0,0.0
K Upadhyay,3,56,9.0,3.0,20.0,2.0,0.0
Sunny Gupta,1,19,4.0,3.0,0.0,2.0,0.0
